91,455,Summer,2012,Gymnastics Men's Floor Exercise,Bronze
92,455,Summer,2012,Gymnastics Men's Horse Vault,Silver
93,455,Summer,2016,Gymnastics Men's Team All-Around,Silver
94,455,Summer,2016,Gymnastics Men's Horse Vault,Silver
95,455,Summer,2016,Gymnastics Men's Rings,Bronze
96,460,Summer,1972,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
97,460,Summer,1972,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
98,465,Summer,2016,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
99,495,Summer,2012,"Fencing Men's Foil, Individual",Silver
100,507,Summer,1988,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
101,507,Summer,1988,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
102,507,Summer,1992,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
103,509,Summer,1980,Swimming Men's 4 x 100 metres Medley Relay,Bronze
104,514,Summer,2004,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
105,519,Summer,1924,Athletics Men's 100 metres,Gold
106,519,Summer,1924,Athletics Men's 4 x 100 metres Relay,Silver
107,521,Summer,1912,"Gymnastics Men's Team All-Around, Free System",Gold
108,527,Summer,1920,Athletics Men's Long Jump,Bronze
109,529,Winter,1928,Ice Hockey Men's Ice Hockey,Silver
110,543,Summer,2004,Volleyball Men's Volleyball,Bronze
111,547,Summer,1964,Volleyball Women's Volleyball,Silver
112,548,Winter,2006,Speed Skating Women's Team Pursuit (6 laps),Bronze
113,576,Summer,2016,Basketball Men's Basketball,Bronze
114,580,Summer,2008,Basketball Women's Basketball,Bronze
115,582,Summer,1980,"Wrestling Men's Lightweight, Freestyle",Gold
116,583,Summer,2004,"Cycling Men's Mountainbike, Cross-Country",Gold
117,583,Summer,2008,"Cycling Men's Mountainbike, Cross-Country",Gold
118,608,Summer,2016,Taekwondo Men's Featherweight,Gold
119,610,Summer,1964,Gymnastics Women's Team All-Around,Bronze
120,618,Summer,1980,"Fencing Men's epee, Team",Bronze
121,619,Summer,1980,"Wrestling Men's Featherweight, Freestyle",Gold
122,627,Summer,2008,Gymnastics Women's Team All-Around,Bronze
123,629,Summer,2012,Handball Men's Handball,Gold
124,634,Winter,1988,Alpine Skiing Men's Combined,Bronze
125,639,Summer,1920,Football Men's Football,Silver
126,646,Summer,1992,Boxing Men's Welterweight,Bronze
127,654,Summer,1984,"Wrestling Men's Flyweight, Greco-Roman",Silver
128,669,Summer,1992,Football Men's Football,Bronze
129,670,Summer,1984,Cycling Men's 100 kilometres Team Time Trial,Silver
130,673,Summer,1988,Boxing Men's Featherweight,Bronze
131,674,Summer,1992,Boxing Men's Bantamweight,Bronze
132,680,Winter,1968,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
133,690,Summer,2012,Rowing Women's Coxed Eights,Bronze
134,690,Summer,2016,Rowing Women's Quadruple Sculls,Silver
135,697,Summer,1920,"Gymnastics Men's Team All-Around, Swedish System",Gold
136,698,Summer,1976,Hockey Men's Hockey,Gold
137,699,Summer,1920,"Wrestling Men's Featherweight, Freestyle",Gold
138,702,Winter,2002,Nordic Combined Men's Team,Silver
139,702,Winter,2002,Nordic Combined Men's Sprint,Silver
140,702,Winter,2006,Nordic Combined Men's Team,Silver
141,705,Winter,1992,Bobsleigh Men's Two,Gold
142,705,Winter,1992,Bobsleigh Men's Four,Bronze
143,705,Winter,1994,Bobsleigh Men's Two,Gold
144,705,Winter,1994,Bobsleigh Men's Four,Silver
145,706,Winter,1994,Bobsleigh Men's Two,Silver
146,716,Summer,2008,Football Men's Football,Gold
147,723,Summer,2008,Boxing Men's Heavyweight,Bronze
148,727,Summer,1952,Basketball Men's Basketball,Bronze
149,745,Summer,1980,Boxing Men's Lightweight,Bronze
150,762,Summer,1936,Rowing Men's Coxed Eights,Gold
151,766,Summer,1976,Modern Pentathlon Men's Team,Silver
152,772,Winter,2006,Curling Men's Curling,Gold
153,775,Summer,1936,"Fencing Men's Foil, Team",Bronze
154,777,Summer,1948,"Cycling Men's Team Pursuit, 4,000 metres",Gold
155,785,Summer,1992,Football Men's Football,Silver
156,807,Summer,1912,Athletics Men's Standing High Jump,Silver
157,807,Summer,1912,Athletics Men's Standing Long Jump,Bronze
158,813,Summer,1904,Swimming Men's Plunge For Distance,Silver
159,818,Summer,1912,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
160,830,Summer,1980,Judo Men's Lightweight,Silver
161,830,Summer,1984,Judo Men's Half-Middleweight,Silver
162,832,Summer,2012,Boxing Women's Flyweight,Gold
163,832,Summer,2016,Boxing Women's Flyweight,Gold
164,836,Summer,1912,Athletics Men's Standing High Jump,Gold
165,836,Summer,1912,Athletics Men's Standing Long Jump,Silver
166,837,Summer,2016,Volleyball Women's Volleyball,Bronze
167,840,Winter,2014,Curling Women's Curling,Bronze
168,846,Summer,2008,Athletics Women's Shot Put,Gold
169,846,Summer,2012,Athletics Women's Shot Put,Gold
170,846,Summer,2016,Athletics Women's Shot Put,Silver
171,849,Summer,2012,Rowing Men's Coxed Eights,Gold
172,850,Summer,1936,Rowing Men's Coxed Pairs,Gold
173,851,Summer,1960,Boxing Men's Featherweight,Silver
174,882,Summer,1992,Football Men's Football,Bronze
175,884,Summer,1920,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
176,896,Summer,2008,Football Men's Football,Silver
177,908,Summer,2008,Football Men's Football,Silver
178,918,Summer,1984,Football Men's Football,Silver
179,918,Summer,1988,Football Men's Football,Silver
180,923,Summer,1992,Athletics Men's 4 x 100 metres Relay,Silver
181,925,Summer,2012,Volleyball Women's Volleyball,Gold
182,953,Summer,1992,"Canoeing Men's Canadian Doubles, Slalom",Bronze
183,953,Summer,1996,"Canoeing Men's Canadian Doubles, Slalom",Gold
184,956,Winter,2010,Bobsleigh Men's Two,Silver
185,957,Summer,1992,Football Men's Football,Bronze
186,962,Summer,1952,Boxing Men's Light-Welterweight,Gold
187,963,Summer,1996,Athletics Men's 400 metres Hurdles,Gold
188,964,Summer,1948,Hockey Men's Hockey,Silver
189,966,Summer,1984,Sailing Mixed Three Person Keelboat,Silver
